"","x"
"100",2.93404426680063
"101",2.87807754125427
"102",2.87160680846458
"103",2.7857383937767
"104",2.94361760166186
"105",2.83643915836432
"106",2.80873676273818
"107",2.89880874003258
"108",2.88460079275115
"109",2.94627665950085
"110",2.91806698094941
"111",2.99202102717116
"112",2.83498784419938
"113",2.88517793445502
"114",2.79212806782635
"115",2.9449096434918
"116",2.88590256713455
"117",2.79022479177968
"118",2.85807509954068
"119",2.84741163109804
"120",2.91063374285884
"121",2.92563126979964
"122",2.92011141664923
"123",2.88845931846564
"124",2.97472160803016
"125",2.77632798142823
"126",2.7273497183546
"127",3.04405613895166
"128",2.94263883571828
"129",2.87661712906252
"130",2.78063325088278
"131",3.03147791330761
"132",2.73290522963766
"133",2.88556610719117
"134",2.74917191322294
"135",2.91194723998495
"136",2.8087564738925
"137",2.80899971014832
"138",2.90770397656787
"139",2.67823941999445
"140",2.92867480044313
"141",2.85481083048045
"142",2.8998786175109
"143",2.97969875073095
"144",2.88546851455014
"145",2.8849034429513
"146",2.97006167953611
"147",2.99600580554747
"148",2.82337699191168
"149",2.7154746679889
"150",2.84664893238875
"151",2.84904137279658
"152",2.68481079894919
"153",2.7707457199166
"154",2.9007767663161
"155",2.72022234581692
"156",2.98069518205846
"157",2.92737686662904
"158",2.7496516044384
"159",2.86818777577309
"160",2.89106391595756
"161",2.76540680944115
"162",2.923674822516
"163",2.85150388068318
"164",3.19658983959641
"165",2.9500153900205
"166",2.85992257991344
"167",2.78674929189725
"168",2.94252069293146
"169",2.78173411549051
"170",2.92638604770598
"171",2.83876149204158
"172",2.99631280870634
"173",2.93235968015443
"174",2.80901588614314
"175",2.74862882798766
"176",2.9204601375208
"177",2.81758081637677
"178",2.81354150046083
"179",2.81767428773743
"180",2.87361190777658
"181",2.89711433629804
"182",2.88282003762226
"183",2.88716338295959
"184",2.97165125925152
"185",2.83795907290287
"186",2.8512042102458
"187",2.70431153650365
"188",2.77952102122441
"189",2.83701484703437
"190",2.87375939536459
"191",2.86015834512089
"192",2.97556072413627
"193",2.66540036435986
"194",2.8791636133654
"195",2.87559780070174
"196",2.87594264083496
"197",2.89874160170768
"198",2.87322650622753
"199",2.8561025925616
"200",2.78884548897496
"201",3.06370497456598
"202",2.80962613608529
"203",2.88999891542126
"204",2.85526250649534
"205",2.95301082246493
"206",2.87911974092762
"207",2.73462342164395
"208",2.8238111117425
"209",2.67924820129762
"210",2.84864359779678
"211",2.84933747338795
"212",2.79488263667341
"213",2.82328089434792
"214",2.83599141292822
"215",2.97601745913761
"216",2.75194424970771
"217",2.88097015747027
"218",2.93943123986252
"219",2.69338381619688
"220",2.81949594455312
"221",3.06473285643107
"222",2.86628880486506
"223",2.96640285334798
"224",2.8860045705831
"225",2.9424301764393
"226",2.89850612721977
"227",2.96206882467779
"228",2.81714601531012
"229",2.73492071708366
"230",2.86351570706271
"231",2.83758653786328
"232",2.83745327240664
"233",2.89187356828087
"234",2.80709008847226
"235",2.86628407693397
"236",2.84449914457802
"237",2.88348331396089
"238",2.83978184060859
"239",2.96488401067859
"240",2.86267172255726
"241",2.79551749604988
"242",2.89919252786951
"243",2.91834826077525
"244",2.83831780640248
"245",2.91802134549061
"246",2.91992856301909
"247",2.77088021320356
"248",2.82772999198356
"249",2.81139571501247
"250",3.01639090775212
"251",2.8312333677481
"252",2.78032375168893
"253",2.84841443648727
"254",2.80294226504643
"255",2.79446008094448
"256",2.76873135909191
"257",2.90530799902121
"258",2.8688486077666
"259",2.8215568157997
"260",2.79582724763914
"261",2.80824858245764
"262",2.83683657193163
"263",2.92795529620001
"264",2.74507622987799
"265",2.8157250570589
"266",2.80374691273431
