"","x"
"342",3.7961735239254
"343",3.66307010869807
"344",2.82380755251254
"345",2.58573689477324
"346",3.23072205159441
"347",3.25496847893685
"348",3.73129233941176
"349",3.06931352688796
"350",3.09234144744687
"351",3.06342217261655
"352",4.03683546288477
"353",3.54256663922616
"354",3.09261550229064
"355",3.8028977988236
"356",3.50006706315044
"357",2.6927580055133
"358",3.78614538602386
"359",3.14884704019031
"360",4.11621480906791
"361",4.63853706573786
"362",3.6427654991969
"363",2.99192603444485
"364",3.73733198365318
"365",3.71095052702433
"366",2.77975785757835
"367",3.1976777895742
"368",3.56835243348988
"369",3.13699015414026
"370",4.52263843719849
"371",3.44758786765018
"372",2.45434761508065
"373",2.68236711474396
"374",3.32606029208749
"375",2.747778473178
"376",3.19101350235866
"377",3.14049393826202
"378",3.37110341305771
"379",4.38414306712092
"380",3.79678334760365
"381",3.43759873442704
"382",3.03800860543089
"383",3.75969183929844
"384",3.47195116620836
"385",2.70901794688533
"386",3.2211139048424
"387",3.56858139853028
"388",3.67994510888868
"389",3.23555331408253
"390",4.07550357793248
"391",3.69365733997327
"392",4.22451659127105
"393",3.18567516662986
"394",3.91423424480501
"395",4.95207764648049
"396",2.7533057024858
"397",5.25829542181479
"398",4.29386581671484
"399",3.78320036976501
"400",2.86059455755154
"401",2.68015934569129
"402",3.21000437428652
"403",3.91217007235051
"404",3.78049676543571
"405",3.7999240223649
"406",3.39238134975984
"407",3.53885776407029
"408",4.26721837261028
"409",4.026454648541
"410",4.35439614789093
"411",3.36167294951599
"412",3.83951942604278
"413",3.31447086989301
"414",2.7818941907141
"415",3.0988921155671
"416",4.36303290778226
"417",4.58671887993524
"418",3.4422954240474
"419",3.07365908461706
"420",2.69325390404143
"421",3.75831350998946
"422",4.1547133906689
"423",3.47633608957905
"424",4.63881901110271
"425",4.33895117586167
"426",3.97772555909711
"427",2.75176933886679
"428",3.2334417097228
"429",3.86803074008669
"430",3.84152213920174
"431",3.26091752939733
"432",3.18673239699032
"433",3.32886958090114
"434",3.28795430517709
"435",3.57582761844452
"436",3.2346416978277
"437",3.96520924562409
"438",3.17172925331022
"439",4.12392791599342
"440",3.10581764965923
"441",2.53867278066621
"442",3.87544322751131
"443",3.2042668089998
"444",3.44386101333101
"445",3.57674826621227
"446",3.44833935401701
"447",4.20144153549128
"448",2.99949887646852
"449",2.72510508070957
"450",4.45761081297333
"451",3.6620897235769
"452",3.64064061816695
"453",2.84063308146343
"454",3.57893470602603
"455",4.84252449720295
"456",3.57120373959438
"457",3.33140619454525
"458",3.44359718106083
"459",4.05457212046845
"460",3.89008907979751
"461",3.66395530144966
"462",3.94628287608994
"463",3.34202574477513
"464",3.24878513069232
"465",4.05379190349627
"466",3.83679626615052
"467",3.3727698148097
"468",3.98856486264161
"469",5.19894772865144
"470",3.16449569856897
"471",3.67310782744984
"472",3.73340854033305
"473",4.07274974387965
"474",4.25430363067621
"475",4.0532032739431
"476",2.92970527933924
"477",3.87459911176364
"478",4.30961000262094
"479",3.44995462925292
"480",4.56486537646145
"481",3.65691114402808
"482",3.07711834068629
"483",4.90799532650111
"484",3.20694143685048
"485",3.97171473431783
"486",3.00392229815271
"487",4.11906393479536
"488",4.36062418418957
"489",3.44485846200691
"490",3.37169863074238
"491",3.15754871610729
"492",4.243056007145
"493",3.9604288962268
"494",2.5863063822116
"495",3.17147251298505
"496",3.52741001617608
"497",3.47599363167991
"498",2.81509766201587
"499",3.94343230841667
"500",3.30376720849277
"501",2.66611027755205
"502",3.31943278418834
"503",4.90232055978487
"504",4.81921083228459
"505",2.75071468991572
"506",5.26819823795715
"507",4.96813947655501
"508",3.94743400837929
"509",3.73824503783418
"510",3.60563223818803
